epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.649,1.7908,11.3958,1.81313,0.37113,0.32053,0.29646,0.11534,1.3534,8.84522,1.50547,0.00016,0.00016,0.00016
2,538.05,1.53407,5.7312,1.43969,0.25444,0.34286,0.17992,0.06603,1.77465,8.27777,1.81843,0.00030634,0.00030634,0.00030634
3,780.185,1.57923,3.74716,1.45812,0.43918,0.48571,0.3209,0.19195,1.61343,5.60489,1.66222,0.00041704,0.00041704,0.00041704
4,1025.49,1.416,2.89526,1.31451,0.32835,0.34286,0.24621,0.12329,1.77814,4.89634,1.82321,0.0004921,0.0004921,0.0004921
5,1281.24,1.3393,2.25226,1.34911,0.5162,0.22857,0.22499,0.14139,1.47791,4.81224,1.64241,0.00053152,0.00053152,0.00053152
6,1522.9,1.45749,2.05866,1.34563,0.38816,0.31429,0.30744,0.17434,1.82943,3.15109,1.78136,0.0005353,0.0005353,0.0005353
7,1761.63,1.46741,1.82626,1.39086,0.65035,0.42527,0.43935,0.25337,2.08739,2.95298,2.31004,0.00050344,0.00050344,0.00050344
8,1995.58,1.36795,1.52848,1.32443,0.51152,0.62857,0.54235,0.29829,1.63326,2.86503,1.71454,0.00043594,0.00043594,0.00043594
9,2239.59,1.17587,1.28791,1.19088,0.58634,0.54286,0.56539,0.31635,1.52291,2.66542,1.57589,0.0003328,0.0003328,0.0003328
10,2477.8,1.18187,1.16231,1.1975,0.68837,0.57143,0.63581,0.4064,1.44588,2.04733,1.51368,0.00019402,0.00019402,0.00019402
